address,username,pnl,volume,trades,avg_bet,win_rate,wins,losses,scanned_at,detailed_analysis,badges,main_category,specialization_pct,both_sides_ratio,avg_entry_price,max_drawdown,unique_markets,analyzed_at,trades_both_sides,both_sides_market_count,extreme_low_pct,extreme_high_pct,reasonable_odds_pct,avg_reasonable_price,max_trades_per_hour,avg_trades_per_hour,is_high_frequency,trading_sessions,trades_per_session,is_clean_trader,clean_score
0xb9fc8078fd6c0275c631ec10fcf8d5cc52d6da76,0xJAC08078fD6C0275C631eC10FCF8d5cc52d6DA76,291.1,40825.47,500,81.65,0.7,7,3,2025-12-06T06:20:33.835332,True,[],Other,1.0,0.0,0.532,1240.17,226,2025-12-06T13:44:23.072456,False,0.0,0.006,0.002,0.944,0.544,0.0,0.0,False,0.0,0.0,True,97.75999999999999
0xd2c4e11acf28d05260ad321ca1d4be244c5f909d,,216.54,6319.91,500,12.64,0.543,38,32,2025-12-06T06:20:30.130474,True,['Novice'],Other,1.0,0.0,0.506,998.94,129,2025-12-06T13:44:22.253234,False,0.0,0.0,0.0,0.874,0.508,0.0,0.0,False,0.0,0.0,True,94.96000000000001
0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,2483.53,121275.42,500,242.55,0.753,70,23,2025-12-06T12:18:49.376094,True,"['Novice', 'High Roller']",Other,1.0,0.0,0.545,62775.8,95,2025-12-06T13:44:26.551838,False,0.0,0.014,0.04,0.848,0.526,0.0,0.0,False,0.0,0.0,True,93.92
0x4133bcbad1d9c41de776646696f41c34d0a65e70,EF203F2IPFC2ICP20W-CP3,839.48,114392.86,500,228.79,0.613,38,24,2025-12-06T06:20:28.488989,True,"['Novice', 'High Roller']",Other,1.0,0.0,0.535,10742.88,173,2025-12-06T13:44:20.469366,False,0.0,0.02,0.05,0.768,0.518,0.0,0.0,False,0.0,0.0,True,90.72
0x5825b839db66966dccf1c4e1030da13a25474ffb,,510.39,11307.51,500,22.62,0.8,8,2,2025-12-06T12:18:51.053479,True,['Lottery Ticket'],Other,1.0,0.255,0.457,212.63,286,2025-12-06T13:44:27.340968,True,73.0,0.01,0.0,0.918,0.485,0.0,0.0,False,0.0,0.0,False,66.72
0x507e52ef684ca2dd91f90a9d26d149dd3288beae,GamblingIsAllYouNeed,112145.54,180127.9,500,360.26,0.63,63,37,2025-12-06T12:18:58.628077,True,"['Novice', 'High Roller']",Other,1.0,0.337,0.521,161682.86,89,2025-12-06T13:44:29.191159,True,30.0,0.02,0.028,0.848,0.523,0.0,0.0,False,0.0,0.0,False,63.92
0x742ff6df87485287bb4db5b0d7fa7af13047d673,khanoftruth,1686.37,2853.5,500,5.71,0.662,51,26,2025-12-06T06:20:44.094617,True,['Novice'],Other,1.0,0.143,0.587,963.61,42,2025-12-06T13:44:25.599767,True,6.0,0.026,0.09,0.84,0.564,0.0,0.0,False,0.0,0.0,False,63.6
0x0dde1b35552efae5aa3759aedb6fa7b2d6f594c3,DFK,6583.61,221193.62,500,442.39,0.956,65,3,2025-12-05T21:16:04.429455,True,['High Roller'],Other,1.0,0.402,0.9,262.29,107,2025-12-05T21:19:23.611739,False,,,,0.0,,,,False,,,,60.0
0x3a55b0c45449b955e43ec10734bd988bb5d1394e,90210,1092.17,504990.89,500,1009.98,0.6,3,2,2025-12-06T01:05:39.692873,True,['Whale'],Other,1.0,0.175,0.719,2437.71,246,2025-12-06T03:08:55.692133,False,,,,0.0,,,,False,,,,60.0
0x2c7f59edbcfdd5d8b7d640ffddb0ee716461be25,Trumputin,577.64,151703.1,500,303.41,0.905,19,2,2025-12-05T21:16:09.936614,True,['High Roller'],Other,1.0,0.442,0.762,103.47,165,2025-12-05T21:19:25.839794,False,,,,0.0,,,,False,,,,60.0
0x3742e54d4b08706cbd6694d54b047092ed4034d1,TopMan2030,447.18,41821.73,500,83.64,0.75,3,1,2025-12-05T21:16:09.230267,True,[],Other,1.0,0.326,0.459,101.0,285,2025-12-05T21:19:24.656317,False,,,,0.0,,,,False,,,,60.0
0xeca0c0888e34df59589c67fbe53dc7f298b5e8f8,StarMaster,288.38,98827.94,500,197.66,0.5,31,31,2025-12-05T21:16:02.383451,True,['Lottery Ticket'],Other,1.0,0.48,0.48,1202.59,100,2025-12-05T21:19:22.464187,False,,,,0.0,,,,False,,,,60.0
0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,oVyg7f,273.73,5082.73,500,10.17,0.833,15,3,2025-12-06T01:05:45.236705,True,"['Lottery Ticket', 'Novice']",Other,1.0,0.005,0.447,280.59,213,2025-12-06T03:08:57.041484,False,,,,0.0,,,,False,,,,60.0
0xebadb1d0b6e705d9ec4a748d39413db8ff21f22b,Sathosi,502.12,5480.57,500,10.96,0.5,8,8,2025-12-06T12:18:55.058083,True,['Lottery Ticket'],Other,1.0,0.245,0.533,269.04,53,2025-12-06T13:44:28.227244,True,13.0,0.032,0.098,0.686,0.421,0.0,0.0,False,0.0,0.0,False,57.44
0xe7e172584937b668b8b5cc8a8c8ff535a1ccee3d,,295.22,43308.68,500,86.62,0.5,2,2,2025-12-06T12:18:58.771662,True,[],Other,1.0,0.106,0.684,18.79,66,2025-12-06T13:44:29.974417,True,7.0,0.014,0.07,0.626,0.62,0.0,0.0,False,0.0,0.0,False,55.04
0xb6c6271ca430f29bfd70ccb70b803cff122a043d,,868.19,5440.34,500,10.88,0.5,6,6,2025-12-06T06:20:35.370606,True,[],Other,1.0,1.0,0.664,951.39,10,2025-12-06T13:44:23.860759,True,10.0,0.1,0.312,0.44,0.577,0.0,0.0,False,0.0,0.0,False,47.6
0xc25427ea224b8f9fa2df801233f944006ed33f73,Taikatalvi,11350.71,634039.05,500,1268.08,0.754,43,14,2025-12-06T06:20:29.636689,True,['Whale'],Other,1.0,0.177,0.744,2621.65,198,2025-12-06T13:44:21.332948,True,35.0,0.128,0.596,0.204,0.524,0.0,0.0,False,0.0,0.0,False,38.16
0xb3c801a28cec936dfc105999f142ffdbf1bec1c9,topsonrock,4877.52,388418.41,129,3011.0,0.75,18,6,2025-12-06T12:19:00.910411,True,['High Roller'],Other,1.0,0.083,0.93,2271.21,84,2025-12-06T13:44:30.738570,True,7.0,0.0,0.779,0.069,0.532,0.0,0.0,False,0.0,0.0,False,32.76
0x7a82f25fd9974aba89f63d16dd8b49ef828fc2c1,Zenef2,359.0,121.75,500,0.24,0.545,6,5,2025-12-06T06:20:39.057685,True,"['Contrarian', 'Lottery Ticket']",Other,1.0,0.333,0.04,147.98,15,2025-12-06T13:44:24.637274,True,5.0,0.808,0.0,0.0,0.5,0.0,0.0,False,0.0,0.0,False,30.0
